title,text,subject,date
Alert: An alien spacecraft that crashed and was covered up by the military,"BREAKING bombshell report reveals an alien spacecraft that crashed and was covered up by the military and the mainstream media is staying SILENT. A whistleblower who claims to have worked inside the operation for over a decade says the evidence is undeniable, even though zero official sources have confirmed any part of this story. Experts are reportedly 'terrified' to speak out, according to unnamed sources close to the situation. This is the story THEY don't want you to see!",conspiracy,"January 14, 2017"
Alert: A politician who was caught on a leaked tape admitting a massive conspiracy,"You won't believe this!!! New leaked footage allegedly proves a politician who was caught on a leaked tape admitting a massive conspiracy, and people online are losing their minds over it. Despite no verified evidence and zero credible reporting, thousands of shares claim this is '100% real' and 'can't be denied.' Click here before this gets banned forever. The establishment is in full panic mode trying to suppress this video!",conspiracy,"Sunday, 2017"
Alert: A leaked document revealing a hidden world government,"You won't believe this!!! New leaked footage allegedly proves a leaked document revealing a hidden world government, and people online are losing their minds over it. Despite no verified evidence and zero credible reporting, thousands of shares claim this is '100% real' and 'can't be denied.' Click here before this gets banned forever. The establishment is in full panic mode trying to suppress this video!",politics,"March 9, 2017"
Alert: A billionaire who is secretly funding a plan to control the global economy,"SHOCKING: You won't believe what was just exposed about a billionaire who is secretly funding a plan to control the global economy! Sources who wish to remain anonymous say this changes EVERYTHING and the mainstream media REFUSES to cover it. Share this before it gets taken down!!! Insiders claim that the truth has been hidden from the public for YEARS, and that this is just the tip of the iceberg. Wake up people, before it's too late!!!",politics,"Saturday, 2017"
Alert: A billionaire who is secretly funding a plan to control the global economy,"BREAKING bombshell report reveals a billionaire who is secretly funding a plan to control the global economy and the mainstream media is staying SILENT. A whistleblower who claims to have worked inside the operation for over a decade says the evidence is undeniable, even though zero official sources have confirmed any part of this story. Experts are reportedly 'terrified' to speak out, according to unnamed sources close to the situation. This is the story THEY don't want you to see!",politics,"April 30, 2017"
Alert: A billionaire who is secretly funding a plan to control the global economy,"SHOCKING: You won't believe what was just exposed about a billionaire who is secretly funding a plan to control the global economy! Sources who wish to remain anonymous say this changes EVERYTHING and the mainstream media REFUSES to cover it. Share this before it gets taken down!!! Insiders claim that the truth has been hidden from the public for YEARS, and that this is just the tip of the iceberg. Wake up people, before it's too late!!!",News,"Tuesday, 2017"
Alert: A leaked document revealing a hidden world government,"You won't believe this!!! New leaked footage allegedly proves a leaked document revealing a hidden world government, and people online are losing their minds over it. Despite no verified evidence and zero credible reporting, thousands of shares claim this is '100% real' and 'can't be denied.' Click here before this gets banned forever. The establishment is in full panic mode trying to suppress this video!",politics,"July 26, 2017"
Alert: A billionaire who is secretly funding a plan to control the global economy,"SHOCKING: You won't believe what was just exposed about a billionaire who is secretly funding a plan to control the global economy! Sources who wish to remain anonymous say this changes EVERYTHING and the mainstream media REFUSES to cover it. Share this before it gets taken down!!! Insiders claim that the truth has been hidden from the public for YEARS, and that this is just the tip of the iceberg. Wake up people, before it's too late!!!",politics,"November 2, 2017"
Alert: An alien spacecraft that crashed and was covered up by the military,"You won't believe this!!! New leaked footage allegedly proves an alien spacecraft that crashed and was covered up by the military, and people online are losing their minds over it. Despite no verified evidence and zero credible reporting, thousands of shares claim this is '100% real' and 'can't be denied.' Click here before this gets banned forever. The establishment is in full panic mode trying to suppress this video!",News,"June 3, 2017"
Alert: An alien spacecraft that crashed and was covered up by the military,"EXPOSED: The hidden truth about an alien spacecraft that crashed and was covered up by the military that NO ONE is talking about. According to totally anonymous insiders who 'can't be named for their own safety,' everything we've been told is a lie. This shocking report claims that powerful figures are working around the clock to keep this buried, but brave truth-seekers are finally bringing it to light. SHARE NOW before they delete this!!!",politics,"Tuesday, 2017"
